2023-08-06 12:51:42,544 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-06 12:51:42,545 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Configure stats pid to 18248
2023-08-06 12:51:42,545 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Loading settings from C:\Users\28072\.config\wandb\settings
2023-08-06 12:51:42,545 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Loading settings from D:\Pycharm\Projects\Farmer_identify\wandb\settings
2023-08-06 12:51:42,545 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-06 12:51:42,545 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-06 12:51:42,546 INFO    MainThread:18248 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'D:\\Pycharm\\Projects\\Farmer_identify\\train.py'}
2023-08-06 12:51:42,547 INFO    MainThread:18248 [wandb_init.py:_log_setup():507] Logging user logs to D:\Pycharm\Projects\Farmer_identify\wandb\run-20230806_125142-loq193qc\logs\debug.log
2023-08-06 12:51:42,547 INFO    MainThread:18248 [wandb_init.py:_log_setup():508] Logging internal logs to D:\Pycharm\Projects\Farmer_identify\wandb\run-20230806_125142-loq193qc\logs\debug-internal.log
2023-08-06 12:51:42,547 INFO    MainThread:18248 [wandb_init.py:init():547] calling init triggers
2023-08-06 12:51:42,547 INFO    MainThread:18248 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-06 12:51:42,547 INFO    MainThread:18248 [wandb_init.py:init():596] starting backend
2023-08-06 12:51:42,548 INFO    MainThread:18248 [wandb_init.py:init():600] setting up manager
2023-08-06 12:51:42,550 INFO    MainThread:18248 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-08-06 12:51:42,552 INFO    MainThread:18248 [wandb_init.py:init():606] backend started and connected
2023-08-06 12:51:42,557 INFO    MainThread:18248 [wandb_init.py:init():697] updated telemetry
2023-08-06 12:51:42,557 INFO    MainThread:18248 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-06 12:51:43,465 INFO    MainThread:18248 [wandb_run.py:_on_init():2180] communicating current version
2023-08-06 12:51:45,220 INFO    MainThread:18248 [wandb_run.py:_on_init():2189] got version response 
2023-08-06 12:51:45,220 INFO    MainThread:18248 [wandb_init.py:init():781] starting run threads in backend
2023-08-06 12:51:47,581 INFO    MainThread:18248 [wandb_run.py:_console_start():2159] atexit reg
2023-08-06 12:51:47,581 INFO    MainThread:18248 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-06 12:51:47,581 INFO    MainThread:18248 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-06 12:51:47,581 INFO    MainThread:18248 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-06 12:51:47,582 INFO    MainThread:18248 [wandb_init.py:init():822] run started, returning control to user process
2023-08-06 13:33:15,084 WARNING MsgRouterThr:18248 [router.py:message_loop():77] message_loop has been closed
